15244749863	14397114174	20181125134900	0242
18840172592	15884588694	20180104050714	0060
17885275338	16574556259	20180327081553	2291
14397114174	17885275338	20180106202919	2323
19342117869	19602240179	20180516022650	0814
16574556259	19342117869	20181023191747	0437
17405139883	19602240179	20180102091533	1497
16569963779	19683537146	20180314013932	2083
17885275338	19565082510	20180927005740	2617
19154926260	19683537146	20181124104402	2410
19602240179	15647679901	20181121143808	0387
14397114174	15305526350	20180616093000	0198
15244749863	16574556259	20180812222338	2549
19342117869	14410679238	20181213222641	0874
19313925217	18840172592	20180923205916	2479
14171709460	15647679901	20180625025711	1983
16160892861	17336673697	20180121181711	2737
19565082510	15305526350	20181031184440	2022
13319935953	17885275338	20180327104207	0104
15781588029	17336673697	20180501081736	1970
19154926260	17885275338	20180723043212	0896
14397114174	15884588694	20180718195817	0430
19313925217	15244749863	20180220164118	1338
14397114174	15647679901	20181120153511	1551
15305526350	17885275338	20180509082041	0267
19154926260	19313925217	20180505035954	2743
13319935953	14930423697	20180906041809	2791
15305526350	19565082510	20180620151552	0495
13319935953	19602240179	20181213181646	1147
17885275338	13319935953	20180129235606	0229
19565082510	17405139883	20180727055118	2571
17885275338	18101213362	20180423181113	2347
14930423697	13319935953	20180618090917	0057
16574556259	14930423697	20180827034753	2648
16574556259	16160892861	20181031213842	2293
15781588029	14171709460	20180624024738	2014
15244749863	15305526350	20180513185108	0048
16569963779	17405139883	20180708120111	0666
19683537146	16160892861	20181222114633	1271
15305526350	19342117869	20180822105700	2118
14397114174	19683537146	20180819072345	1630
14930423697	13319935953	20180308043333	0983
17885275338	14171709460	20180827130309	0269
14397114174	14930423697	20180121134916	0418
14930423697	17405139883	20180920053056	2545
17336673697	14397114174	20181012105839	2278
17336673697	15647679901	20181007090413	2591
15280214634	19342117869	20180201183705	0123
16160892861	19342117869	20181010043710	2328
15305526350	19602240179	20180909201254	2833
17405139883	17885275338	20180204030939	0519
16569963779	14171709460	20180630181656	1892
14410679238	18840172592	20180727163116	0382
15244749863	13319935953	20180725075536	2346
18101213362	14930423697	20181204090940	2600
19683537146	15884588694	20181101151100	1592
15647679901	16574556259	20180204192656	0332
17405139883	19313925217	20181223020523	0140
16569963779	15305526350	20181203000153	1739
16569963779	19342117869	20180331043809	1866
19602240179	19154926260	20180606104738	0913
19602240179	17336673697	20180528161346	1213
17336673697	18840172592	20180413150850	2325
16574556259	14171709460	20180119203222	1556
13319935953	19602240179	20180703184406	0048
